Date,Mobile subscribers per capita (divide total mobile users by total population),Business: Internet users (per 100 people),Region
2010-07-01,0.88854,40.0,Europe
2010-07-01,1.17547,45.0,Europe
2010-07-01,1.41929,45.0,Europe
2010-07-01,0.82716,52.0,Europe
2010-07-01,1.35986,43.0,Europe
2010-07-01,1.08882,32.0,Europe
2010-07-01,1.35380,46.0,Europe
2010-07-01,1.85276,52.0,Europe
2010-07-01,1.14936,40.0,Europe
2010-07-01,0.84904,40.0,Europe
2010-07-01,1.67481,43.0,Europe
2010-07-01,1.02997,72.0,Europe
2010-07-01,1.48806,63.0,Europe
2010-07-01,1.22964,62.0,Europe
2010-07-01,1.20118,65.0,Europe
2010-07-01,1.44004,60.0,Europe
2010-07-01,1.23329,74.0,Europe
2010-07-01,1.09114,80.0,Europe
2010-07-01,1.36818,69.0,Europe
2010-07-01,1.09476,63.0,Europe
2010-07-01,1.42845,51.0,Europe
2010-07-01,1.03581,69.0,Europe
2010-07-01,1.08636,45.0,Europe
2010-07-01,0.93696,53.0,Europe
2010-07-01,1.12003,66.0,Europe
2010-07-01,1.49801,54.0,Europe
2010-07-01,1.30345,85.0,Europe
2010-07-01,0.97118,77.0,Europe
2010-07-01,1.07243,96.0,Europe
2010-07-01,1.27860,83.0,Europe
2010-07-01,1.11548,74.0,Europe
2010-07-01,1.56432,87.0,Europe
2010-07-01,1.45904,73.0,Europe
2010-07-01,1.05076,70.0,Europe
2010-07-01,1.15429,91.0,Europe
2010-07-01,1.16072,90.0,Europe
2010-07-01,1.24781,89.0,Europe
2010-07-01,1.21733,82.0,Europe
2010-07-01,1.15532,93.0,Europe
2010-07-01,1.43406,90.0,Europe
2010-07-01,0.40027,8.0,The Americas
2010-07-01,0.65142,10.0,The Americas
2010-07-01,0.72300,20.0,The Americas
2010-07-01,1.25058,11.0,The Americas
2010-07-01,0.91732,20.0,The Americas
2010-07-01,1.25569,11.0,The Americas
2010-07-01,0.73612,30.0,The Americas
2010-07-01,1.24339,16.0,The Americas
2010-07-01,1.02185,29.0,The Americas
2010-07-01,0.56339,13.0,The Americas
2010-07-01,1.17751,26.0,The Americas
2010-07-01,0.89579,40.0,The Americas
2010-07-01,1.00133,34.0,The Americas
2010-07-01,0.96075,37.0,The Americas
2010-07-01,1.14368,40.0,The Americas
2010-07-01,1.55802,47.0,The Americas
2010-07-01,1.16709,33.0,The Americas
2010-07-01,1.84717,43.0,The Americas
2010-07-01,0.65144,37.0,The Americas
2010-07-01,1.69641,32.0,The Americas
2010-07-01,1.41788,36.0,The Americas
2010-07-01,0.80550,31.0,The Americas
2010-07-01,1.04102,41.0,The Americas
2010-07-01,1.32193,48.0,The Americas
2010-07-01,1.16002,45.0,The Americas
2010-07-01,1.52666,76.0,The Americas
2010-07-01,1.89347,80.0,The Americas
2010-07-01,1.28072,70.0,The Americas
2010-07-01,1.41207,49.0,The Americas
2010-07-01,0.70437,81.0,The Americas
2010-07-01,0.90157,74.0,The Americas
